expAges,June 15 2013,October 15 2013,March 15 2014
0,0.612125163,0.606864204,0.598930861
900,0.055721358,0.058866389,0.057854216
1800,0.021420714,0.025294231,0.022346425
2700,0.00131906,0.001593855,0.001536761
3600,0.047949601,0.045159234,0.048836525
4500,0.000550033,0.000834877,0.000507182
5400,0.001212109,0.000991732,0.000877424
6300,0.000499104,0.000693201,0.000887568
7200,0.008138445,0.008844632,0.007906963
8100,0.000463453,0.000571764,0.000258663
9000,0.000381967,0.000389609,0.000294165
9900,0.000336131,0.000146736,0.000207944
10800,0.003218709,0.003233249,0.002043942
11700,0.00042271,0.000252993,0.000562972
12600,0.000234273,0.000207454,0.000207944
13500,0.000366688,0.000197334,0.000192729
14400,0.007033287,0.01034741,0.011396373
15300,0.000224087,0.000202394,0.000218088
16200,0.000254645,0.000151796,0.000268806
17100,0.000178251,0.000182155,0.000152155
18000,0.000626426,0.0014117,0.001526617
18900,0.000127322,0.000222634,0.000187657
19800,0.000168066,0.000187215,0.000207944
20700,0.000290295,0.000283352,0.000207944
21600,0.010048281,0.008596699,0.008581514
22500,0.000254645,0.000313711,0.000177514
23400,0.000224087,0.000166975,0.001070153
24300,0.000198623,0.000222634,0.000197801
25200,0.000748655,0.000733679,0.000304309
26100,0.000320852,0.000166975,0.000172442
27000,0.000188437,0.000192275,0.000147083
27900,0.00015788,0.000192275,0.000360099
28800,0.003534469,0.001168827,0.00128317
29700,0.000275016,0.000313711,0.000162298
30600,0.000285202,0.000202394,0.000309381
31500,0.000127322,0.000192275,0.000157226
32400,9.16721E-05,0.000273232,0.000126795
33300,0.00015788,0.000227694,0.000187657
34200,0.000168066,0.000232753,0.000116652
35100,0.000173158,0.000263113,0.000192729
36000,0.000656983,0.000581884,0.000811491
36900,0.00019353,0.000192275,0.00022316
37800,0.000173158,7.0838E-05,0.000263734
38700,0.000127322,0.000192275,0.000157226
39600,0.000112044,0.000146736,0.000106508
40500,0.000127322,0.000161915,0.000106508
41400,0.000117137,0.000202394,0.000182585
42300,7.63934E-05,0.000207454,0.000268806
43200,0.019790988,0.01854438,0.019764871
44100,0.000152787,0.000197334,0.000197801
45000,0.000234273,0.000379489,0.00016737
45900,7.63934E-05,0.000217574,0.000121724
46800,0.000137508,0.000161915,0.000233304
47700,0.000244459,0.000146736,0.00027895
48600,0.000224087,0.000151796,0.000157226
49500,0.000341224,0.000268172,0.00011158
50400,0.00038706,0.000202394,0.000187657
51300,8.65792E-05,0.000182155,9.12927E-05
52200,0.000173158,0.000445268,0.000213016
53100,0.000152787,0.000333951,0.000339812
54000,0.000147694,0.000217574,0.000131867
54900,0.000208809,0.000409849,8.62209E-05
55800,0.000295388,0.000247933,8.62209E-05
56700,0.000152787,0.000379489,0.000202873
57600,0.000127322,0.000222634,9.12927E-05
58500,0.000168066,0.000313711,0.000162298
59400,0.000213902,0.000197334,0.000339812
60300,0.000132415,9.10774E-05,7.60773E-05
61200,0.000127322,0.000116377,0.000126795
62100,0.000122229,0.000268172,0.000101436
63000,0.000178251,0.000136616,0.000273878
63900,0.000376874,0.000172035,0.000136939
64800,0.000356503,0.000212514,0.000116652
65700,0.000188437,0.000121437,0.000136939
66600,7.63934E-05,0.000146736,8.11491E-05
67500,0.00015788,0.000197334,0.000187657
68400,0.000840328,0.000166975,0.000207944
69300,0.000224087,8.09577E-05,0.000152155
70200,0.00015788,0.000207454,0.000142011
71100,0.000188437,0.000156856,0.00011158
72000,0.000173158,0.000602123,0.000608618
72900,0.000101858,0.000268172,0.000136939
73800,0.000132415,0.000161915,0.000101436
74700,0.000112044,0.000151796,0.000162298
75600,0.000285202,9.10774E-05,0.000233304
