expAges,June 15 2013,October 15 2013,March 15 2014
0,0.139382403,0.105569948,0.088063889
900,0.077834179,0.069084629,0.063457803
1800,0.056260575,0.055051813,0.044247788
2700,0.043781726,0.042314335,0.046622059
3600,0.037225042,0.038860104,0.039715087
4500,0.032571912,0.034110535,0.03086553
5400,0.030879865,0.026338515,0.024606087
6300,0.024534687,0.028929188,0.033023959
7200,0.021573604,0.026986183,0.025037773
8100,0.01713198,0.019430052,0.017914958
9000,0.020516074,0.023316062,0.024390244
9900,0.014170897,0.015112263,0.015540686
10800,0.020093063,0.018134715,0.022879344
11700,0.014170897,0.013601036,0.015109001
12600,0.009306261,0.010146805,0.011007986
13500,0.008248731,0.007772021,0.014245629
14400,0.015862944,0.021588946,0.017914958
15300,0.01142132,0.009715026,0.0105763
16200,0.005499154,0.011226252,0.008633715
17100,0.008883249,0.008851468,0.012950572
18000,0.006556684,0.004533679,0.010144615
18900,0.006979695,0.008635579,0.007986186
19800,0.006345178,0.006908463,0.006906972
20700,0.008037225,0.008419689,0.004964386
21600,0.012267343,0.011658031,0.010792143
22500,0.005499154,0.009283247,0.010360458
23400,0.003595601,0.00388601,0.003669329
24300,0.003172589,0.005613126,0.005827757
25200,0.00465313,0.004749568,0.004964386
26100,0.004441624,0.005181347,0.0045327
27000,0.003172589,0.004749568,0.005827757
27900,0.003595601,0.00388601,0.004316857
28800,0.005499154,0.00388601,0.004964386
29700,0.003384095,0.003022453,0.003885172
30600,0.002326565,0.003022453,0.004964386
31500,0.003595601,0.004317789,0.003237643
32400,0.004230118,0.004317789,0.005396072
33300,0.002961083,0.003238342,0.003669329
34200,0.003807107,0.003454231,0.003669329
35100,0.002749577,0.004317789,0.004101014
36000,0.003172589,0.004317789,0.005396072
36900,0.004230118,0.004749568,0.003669329
37800,0.002326565,0.003670121,0.004101014
38700,0.004230118,0.002806563,0.002805957
39600,0.003172589,0.002590674,0.002590114
40500,0.001480541,0.002590674,0.003237643
41400,0.003384095,0.004749568,0.002590114
42300,0.002326565,0.003238342,0.003669329
43200,0.004230118,0.006476684,0.005396072
44100,0.001903553,0.003454231,0.003237643
