Bins,Actual Proportions
0,0.105569948
900,0.069084629
1800,0.055051813
2700,0.042314335
3600,0.038860104
4500,0.034110535
5400,0.026338515
6300,0.028929188
7200,0.026986183
8100,0.019430052
9000,0.023316062
9900,0.015112263
10800,0.018134715
11700,0.013601036
12600,0.010146805
13500,0.007772021
14400,0.021588946
15300,0.009715026
16200,0.011226252
17100,0.008851468
18000,0.004533679
18900,0.008635579
19800,0.006908463
20700,0.008419689
21600,0.011658031
22500,0.009283247
23400,0.00388601
24300,0.005613126
25200,0.004749568
26100,0.005181347
27000,0.004749568
27900,0.00388601
28800,0.00388601
29700,0.003022453
30600,0.003022453
31500,0.004317789
32400,0.004317789
33300,0.003238342
34200,0.003454231
35100,0.004317789
36000,0.004317789
36900,0.004749568
37800,0.003670121
38700,0.002806563
39600,0.002590674
40500,0.002590674
41400,0.004749568
42300,0.003238342
43200,0.006476684
44100,0.003454231
45000,0.003238342
45900,0.002158895
46800,0.002590674
47700,0.003454231
48600,0.00388601
49500,0.003022453
50400,0.001943005
51300,0.003022453
52200,0.003238342
53100,0.001511226
54000,0.002158895
54900,0.002374784
55800,0.001943005
56700,0.001943005
57600,0.002590674
58500,0.002158895
59400,0.003454231
60300,0.002590674
61200,0.002590674
62100,0.002158895
63000,0.001511226
63900,0.001079447
64800,0.002806563
65700,0.002806563
66600,0.002158895
67500,0.001295337
68400,0.001943005
69300,0.003238342
70200,0.001727116
71100,0.002158895
72000,0.001727116
72900,0.001079447
73800,0.001727116
74700,0.001295337
75600,0.002806563
76500,0.001727116
77400,0.001727116
78300,0.001511226
79200,0.001079447
80100,0.001727116
81000,0.001511226
81900,0.001943005
82800,0.000647668
83700,0.001511226
84600,0.001079447
85500,0.000431779
86400,0.003022453
87300,0.000863558
88200,0.000647668
89100,0.000431779
90000,0.000647668
90900,0
91800,0.000863558
92700,0.000863558
93600,0.001079447
94500,0.000647668
95400,0.000647668
96300,0.000647668
97200,0.001511226
98100,0.001079447
99000,0.000215889
99900,0.000863558
100800,0.001079447
101700,0.001079447
102600,0.001295337
103500,0.000647668
104400,0.000647668
105300,0.000647668
106200,0.000215889
107100,0.000863558
108000,0.000215889
108900,0.001511226
109800,0.000215889
110700,0.001511226
111600,0
112500,0.000863558
113400,0.000215889
114300,0.001295337
115200,0.001511226
116100,0.001079447
117000,0.000431779
117900,0.000431779
118800,0.001079447
119700,0.000431779
120600,0.000647668
121500,0.001079447
122400,0.000647668
123300,0.000863558
124200,0.000863558
125100,0.000431779
126000,0.000647668
126900,0.000647668
127800,0.000431779
128700,0.000863558
129600,0.001295337
130500,0.001079447
131400,0
132300,0.000431779
133200,0.001295337
134100,0.000647668
135000,0
135900,0.000431779
136800,0.000215889
137700,0.000215889
138600,0.000215889
139500,0.001511226
140400,0.001079447
141300,0.000215889
142200,0.000431779
143100,0.000215889
144000,0.000431779
144900,0.000215889
145800,0.000431779
146700,0.000647668
147600,0
148500,0.000647668
149400,0.000431779
150300,0.000431779
151200,0.001079447
152100,0.000647668
153000,0.000431779
153900,0.000431779
154800,0.000431779
155700,0.000863558
156600,0.000863558
157500,0.000647668
158400,0.001295337
159300,0.000431779
160200,0.001079447
161100,0.000215889
162000,0.001295337
162900,0.000647668
163800,0.000215889
164700,0.000431779
165600,0
166500,0.000647668
167400,0
168300,0.000863558
169200,0.000215889
170100,0.000215889
171000,0.000215889
171900,0.000431779
172800,0.001295337
173700,0.000647668
174600,0.001079447
175500,0.000215889
176400,0.000215889
177300,0
178200,0.000215889
179100,0.000647668
180000,0.000431779
180900,0.000215889
181800,0.000215889
182700,0
183600,0.000215889
184500,0.000215889
185400,0.000215889
186300,0.000863558
187200,0
188100,0.000863558
189000,0.000863558
189900,0.000647668
190800,0.000431779
191700,0.000431779
192600,0.000215889
193500,0.000647668
194400,0.000215889
195300,0
196200,0.000431779
197100,0.000215889
198000,0.000215889
198900,0
199800,0
200700,0.000431779
201600,0.001079447
202500,0.000215889
203400,0.000647668
204300,0.000431779
205200,0
206100,0.000215889
207000,0.000215889
207900,0.000431779
208800,0.000431779
209700,0.000215889
210600,0.000215889
211500,0.000863558
212400,0.000215889
213300,0.000647668
214200,0.000431779
215100,0.000215889
216000,0.000647668
216900,0
217800,0
218700,0.000215889
219600,0.000215889
220500,0.000647668
221400,0.000647668
222300,0.000431779
223200,0.000215889
224100,0.001079447
225000,0
225900,0.000863558
226800,0
227700,0.000863558
228600,0.000431779
229500,0
230400,0.000215889
231300,0.000215889
232200,0
233100,0.000431779
234000,0.000215889
234900,0
235800,0.000215889
236700,0.000215889
237600,0
238500,0.000215889
239400,0.000215889
240300,0.000215889
241200,0
242100,0.000431779
243000,0.000431779
243900,0.000215889
244800,0.000863558
245700,0.000431779
246600,0.000431779
247500,0.000215889
248400,0.000647668
249300,0.000215889
250200,0
251100,0
252000,0
252900,0.000215889
253800,0
254700,0.000215889
255600,0.000215889
256500,0
257400,0.000215889
258300,0.000431779
259200,0.000647668
260100,0.000215889
261000,0.000647668
261900,0.000647668
262800,0.000215889
263700,0
264600,0
265500,0.000215889
266400,0.000863558
267300,0
268200,0.000215889
269100,0.000215889
270000,0
270900,0.000215889
271800,0
272700,0
273600,0
274500,0
275400,0.000647668
276300,0
277200,0.000215889
278100,0
279000,0.000431779
279900,0.002806563
280800,0
281700,0.000215889
282600,0.000431779
283500,0
284400,0
285300,0.000431779
286200,0.000431779
287100,0
288000,0.000863558
288900,0
289800,0.000863558
290700,0
291600,0.000215889
292500,0.000647668
293400,0
294300,0.000215889
295200,0
296100,0
