Number of Responses,Average Requests,Upper CI,Lower CI
0,0,0,0
10,0.088387772,0.088723084,0.088052461
20,0.134867672,0.135307387,0.134427957
30,0.128042295,0.128459912,0.127624678
40,0.111360972,0.111757468,0.110964475
50,0.093008794,0.093379758,0.092637829
60,0.076920854,0.077272316,0.076569392
70,0.063636516,0.063941925,0.063331107
80,0.051833333,0.05211663,0.051550036
90,0.042811977,0.043056664,0.042567289
100,0.035000838,0.035229457,0.034772218
110,0.028955193,0.029175758,0.028734627
120,0.023984506,0.024190215,0.023778797
130,0.01965201,0.019831419,0.019472601
140,0.016369765,0.016533656,0.016205875
150,0.013714405,0.013865614,0.013563197
160,0.011193049,0.011330317,0.01105578
170,0.009384003,0.00950581,0.009262197
180,0.007839615,0.007953027,0.007726202
190,0.006585846,0.0066903,0.006481392
200,0.005487437,0.005580068,0.005394807
210,0.004569514,0.00465772,0.004481309
220,0.003941792,0.004020192,0.003863393
230,0.003342127,0.003415893,0.003268362
240,0.00278057,0.002847471,0.002713668
250,0.002318258,0.002378178,0.002258338
260,0.002043132,0.002101761,0.001984504
270,0.001682998,0.001740721,0.001625276
280,0.001435092,0.001482876,0.001387308
290,0.001211474,0.001257418,0.00116553
300,0.001096734,0.001138393,0.001055074
