Time,Percent of Bytes,Percent of Requests,Bytes Std. Dev,Req. Std. Dev,Bytes Upper CI,Byters Lower CI,Reqs Upper CI,Reqs Lower CI
0,nan,nan,nan,nan,0,0,0,0
3600,0.154858845,0.144556322,0.023884328,0.021408166,0.155906498,0.153811191,0.145495362,0.143617282
7200,0.141239826,0.131310251,0.022235627,0.019463794,0.142215161,0.14026449,0.132164004,0.130456498
10800,0.141251149,0.130240044,0.02233573,0.02009519,0.142230875,0.140271422,0.131121492,0.129358595
14400,0.14071824,0.129740644,0.022857455,0.020273359,0.141720851,0.139715628,0.130629908,0.128851381
18000,0.137933601,0.126969315,0.022354314,0.019585042,0.138914388,0.136952814,0.127828602,0.126110029
21600,0.138350438,0.127646829,0.022167749,0.019913593,0.13932304,0.137377836,0.128520531,0.126773127
25200,0.135971316,0.125134046,0.021600085,0.01930775,0.13691925,0.135023383,0.125981379,0.124286713
28800,0.135898662,0.125220665,0.021887467,0.019618361,0.136858966,0.134938357,0.126081414,0.124359917
32400,0.136556351,0.125553312,0.022673161,0.019845496,0.137550879,0.135561824,0.126423808,0.124682817
36000,0.135765862,0.124224106,0.022694226,0.019981066,0.136761314,0.134770411,0.125100548,0.123347663
39600,0.135271565,0.123957858,0.022133784,0.019501806,0.136242434,0.134300697,0.124813279,0.123102438
43200,0.136031838,0.124849774,0.021789861,0.019114502,0.13698786,0.135075816,0.125688416,0.124011133
46800,0.118273033,0.113278465,0.021536854,0.019254349,0.119217718,0.117328348,0.114123031,0.112433899
50400,0.118599082,0.113283287,0.022277077,0.019528979,0.119576236,0.117621928,0.114139899,0.112426675
54000,0.117964512,0.112928542,0.021359897,0.018822003,0.11890167,0.117027355,0.113754351,0.112102734
57600,0.117042936,0.112041951,0.02154933,0.019007799,0.117988168,0.116097704,0.112875702,0.111208199
61200,0.11692598,0.111691963,0.021712623,0.019331429,0.117878613,0.115973346,0.112540122,0.110843803
64800,0.116647406,0.11170205,0.02199773,0.019349002,0.117612549,0.115682264,0.112550981,0.11085312
68400,0.117219954,0.112406935,0.022015597,0.019806586,0.118185881,0.116254028,0.113275941,0.111537928
72000,0.117108353,0.112135667,0.021415247,0.019230812,0.118048174,0.116168531,0.112979623,0.11129171
75600,0.117167832,0.111917674,0.021311565,0.018977165,0.118102869,0.116232795,0.11275029,0.111085057
79200,0.116513573,0.111270542,0.022085293,0.019334521,0.117482557,0.115544589,0.112118837,0.110422247
82800,0.117393398,0.111872494,0.021189301,0.018708781,0.118323071,0.116463725,0.112693335,0.111051653
86400,0.116242132,0.111310476,0.021760312,0.019143821,0.117197097,0.115287167,0.112150614,0.110470337
90000,0.106309939,0.099889961,0.019835594,0.01760847,0.107180219,0.10543966,0.100662527,0.099117396
93600,0.106433823,0.099754553,0.020527181,0.017961034,0.107334672,0.105532975,0.100542785,0.098966322
97200,0.105589562,0.099045275,0.019831537,0.017516362,0.106459664,0.104719461,0.099813799,0.098276751
100800,0.106352648,0.099655881,0.020610871,0.017931435,0.107257396,0.1054479,0.100443011,0.098868751
104400,0.106154276,0.099808041,0.020751246,0.018268136,0.107064502,0.105244051,0.100609348,0.099006734
108000,0.106510532,0.099767726,0.020276728,0.017730105,0.107399943,0.10562112,0.100545433,0.098990019
111600,0.105758993,0.099290147,0.020230391,0.017637446,0.106646371,0.104871614,0.100063789,0.098516504
115200,0.105495317,0.099055776,0.019988049,0.017648719,0.106372285,0.104618348,0.099830107,0.098281445
118800,0.106662652,0.099904756,0.019797233,0.017491438,0.107531248,0.105794055,0.100672187,0.099137326
122400,0.106328923,0.099704281,0.020394739,0.018017526,0.10722351,0.105434335,0.100494596,0.098913967
126000,0.106465615,0.099816663,0.020161589,0.017783331,0.107350197,0.105581032,0.1005969,0.099036426
129600,0.106055241,0.099464296,0.019956365,0.017601168,0.1069306,0.105179882,0.100236347,0.098692245
133200,0.105945026,0.099505372,0.020896677,0.017994654,0.10686186,0.105028192,0.10029488,0.098715863
136800,0.106405203,0.099676768,0.020303501,0.017858238,0.107296011,0.105514394,0.100460291,0.098893244
140400,0.107100716,0.100407878,0.020503859,0.017921814,0.108000316,0.106201117,0.101194191,0.099621565
144000,0.106529281,0.100158856,0.020810132,0.018346873,0.107442546,0.105616015,0.10096402,0.099353692
147600,0.105619442,0.099323417,0.020302107,0.018077953,0.106510189,0.104728694,0.10011658,0.098530253
151200,0.106333919,0.099595825,0.019978545,0.017546116,0.107210691,0.105457148,0.100365848,0.098825803
154800,0.106062004,0.099663241,0.020532643,0.017918515,0.106963318,0.10516069,0.100449804,0.098876679
158400,0.105889165,0.09928796,0.020237774,0.017735732,0.106777313,0.105001018,0.100066304,0.098509616
162000,0.106123962,0.099618911,0.020360999,0.01790676,0.107017517,0.105230406,0.100404761,0.098833062
165600,0.10558404,0.099011286,0.020106612,0.017663402,0.10646621,0.104701869,0.099786261,0.09823631
169200,0.105407017,0.099168843,0.020339477,0.017617852,0.106299181,0.104514853,0.099941626,0.098396059
172800,0.105569712,0.099140658,0.020354287,0.017802701,0.106462526,0.104676899,0.099921549,0.098359767
176400,0.103397758,0.096407187,0.02037385,0.017740967,0.104291653,0.102503863,0.097185566,0.095628809
180000,0.104295602,0.097169216,0.020282672,0.017724924,0.105185274,0.10340593,0.097946696,0.096391736
183600,0.103751889,0.096675083,0.020272313,0.017446221,0.104641107,0.102862671,0.097440338,0.095909828
187200,0.103496834,0.096698223,0.020402703,0.017894448,0.104391771,0.102601897,0.097483138,0.095913307
190800,0.104054844,0.097162315,0.020204945,0.017613581,0.104941106,0.103168581,0.097934911,0.096389719
194400,0.103001045,0.096193799,0.020374522,0.017691668,0.103894746,0.102107344,0.09696982,0.095417778
198000,0.103098373,0.096204804,0.020169925,0.017702367,0.103983987,0.102212759,0.096982073,0.095427534
201600,0.1039472,0.096856103,0.020603264,0.018211092,0.104851387,0.103043013,0.097655309,0.096056898
205200,0.102971466,0.096209768,0.020093462,0.017535908,0.103852839,0.102090094,0.096978957,0.095440579
208800,0.10421012,0.096951177,0.020307583,0.017874447,0.105100884,0.103319355,0.097735215,0.096167139
