respSizes,June 15 2013,October 15 2013,March 15 2014
0,0,0.000837872,0
1000,0.035736942,0.014453289,0.010813149
2000,0.02643265,0.021784667,0.022923875
3000,0.048847536,0.035609552,0.043036332
4000,0.072742652,0.060117302,0.057093426
5000,0.082046944,0.080435693,0.066608997
6000,0.078663565,0.084625052,0.081098616
7000,0.082681328,0.079388354,0.072448097
8000,0.067033199,0.068077084,0.069852941
9000,0.061112286,0.057394219,0.0683391
10000,0.058786213,0.053833264,0.058607266
11000,0.048847536,0.049853372,0.052119377
12000,0.041869317,0.044407206,0.040657439
13000,0.03171918,0.040008379,0.03633218
14000,0.032353563,0.028697109,0.032871972
15000,0.025163882,0.031839129,0.032223183
16000,0.022837809,0.022832007,0.02616782
17000,0.020934658,0.020108923,0.020977509
18000,0.015436667,0.019480519,0.017949827
19000,0.011630366,0.016547968,0.019679931
20000,0.012687672,0.016757436,0.015787197
21000,0.010995982,0.013196481,0.011894464
22000,0.010995982,0.01026393,0.013408304
23000,0.009515754,0.01026393,0.009948097
24000,0.006343836,0.007750314,0.009299308
25000,0.006978219,0.006702974,0.007569204
26000,0.004652146,0.007750314,0.008434256
27000,0.005075069,0.005446167,0.007785467
28000,0.004863608,0.005446167,0.007136678
29000,0.004440685,0.006074571,0.005622837
30000,0.003383379,0.004608295,0.006920415
31000,0.006132375,0.004398827,0.004108997
32000,0.004017763,0.005236699,0.002378893
33000,0.003171918,0.003351487,0.002595156
34000,0.002960457,0.004189359,0.003027682
35000,0.002326073,0.010892333,0.003892734
36000,0.001903151,0.010054462,0.002595156
37000,0.001903151,0.003560955,0.003243945
38000,0.001480228,0.003351487,0.003460208
39000,0.00169169,0.001466276,0.002595156
40000,0.001903151,0.002723083,0.001946367
41000,0.00169169,0.000837872,0.001946367
42000,0.001480228,0.00104734,0.001730104
43000,0.002114612,0.001675744,0.001513841
44000,0.00169169,0.001256808,0.001513841
45000,0.003171918,0.000628404,0.001081315
46000,0.001268767,0.000628404,0.001297578
47000,0.001057306,0.00104734,0.001730104
48000,0.000211461,0.000837872,0.001946367
49000,0.000634384,0.001675744,0.001513841
50000,0.000634384,0.001256808,0.001081315
51000,0.000845845,0.001256808,0.001081315
52000,0.000422922,0.000209468,0.001297578
53000,0.000422922,0.000628404,0.001297578
54000,0.000422922,0.000418936,0.001297578
55000,0.001057306,0.000628404,0.000432526
56000,0.000634384,0.000418936,0.000432526
57000,0.000211461,0.000418936,0.000865052
58000,0.000211461,0.000209468,0.001081315
59000,0.000422922,0.000209468,0.000865052
60000,0.000211461,0,0.000216263
61000,0.000845845,0.000418936,0.000432526
62000,0,0.000209468,0.000216263
63000,0,0.000209468,0.000432526
64000,0.000422922,0.000418936,0.000216263
65000,0.000211461,0.000418936,0.000432526
66000,0.000634384,0.000628404,0.000648789
67000,0,0,0.000648789
68000,0.000211461,0.000628404,0.000648789
69000,0,0.000418936,0
70000,0.000422922,0.000837872,0.000216263
71000,0,0.000418936,0.000432526
72000,0.000211461,0,0.000216263
73000,0.000422922,0,0.000216263
74000,0.000634384,0,0.000432526
75000,0.000211461,0.000628404,0.000216263
76000,0,0.000209468,0.000216263
77000,0,0.000418936,0
78000,0.000845845,0.000418936,0.000432526
79000,0,0,0.000216263
80000,0.000211461,0,0
81000,0,0.000418936,0.000216263
82000,0,0,0.000648789
83000,0,0,0
84000,0,0,0
85000,0.000422922,0,0.000648789
86000,0.000422922,0.000209468,0
87000,0,0,0.000432526
88000,0,0.000418936,0
89000,0.000211461,0.000209468,0.000216263
90000,0.000211461,0,0
91000,0,0.000209468,0
92000,0.000211461,0,0
93000,0,0.000209468,0
94000,0,0.000418936,0.000216263
95000,0,0,0
96000,0,0,0
97000,0,0.000209468,0.000216263
98000,0,0,0
99000,0,0,0.000432526
100000,0,0.000209468,0
More,0.002114612,0.00209468,0.003027682
