#Time	June	Oct	Mar
0	1	1	1
1	0.548051121	0.535552063	0.523524145
2	0.549321184	0.536880623	0.524383192
3	0.549325075	0.536925928	0.524400128
4	0.549360698	0.53695608	0.524477553
5	0.549453938	0.537045319	0.524566493
6	0.549582099	0.53711023	0.524634748
7	0.549651793	0.537153427	0.524687303
8	0.549659006	0.537347205	0.524744938
9	0.549661359	0.537442066	0.524822601
10	0.549689867	0.537487206	0.524873651
11	0.550159404	0.537864454	0.525327506
12	0.550165038	0.537875195	0.525454832
13	0.550175271	0.53787653	0.525574853
14	0.550205816	0.537890525	0.525644663
15	0.550207357	0.537895343	0.525742624
16	0.550378309	0.538094358	0.525925456
17	0.550399346	0.538107611	0.525937532
19	0.55051166	0.538160653	0.525965066
20	0.550522602	0.538260539	0.525976007
21	0.550607806	0.538295872	0.526065114
22	0.550617559	0.538357756	0.526099439
23	0.550645387	0.538367297	0.526118245
24	0.550649695	0.538467237	0.526129994
25	0.550701531	0.538473779	0.52614701
26	0.550722541	0.538486906	0.526225607
27	0.55073389	0.538493963	0.526247822
28	0.550746157	0.538522297	0.526460373
29	0.550748963	0.538699758	0.526461803
30	0.550856966	0.53871095	0.526530036
31	0.554129122	0.538732029	0.526621534
32	0.554163413	0.542456292	0.527603833
33	0.554187224	0.542472476	0.527624858
35	0.554231199	0.542491655	0.527643831
36	0.554264371	0.542516359	0.527694708
38	0.554357348	0.542535566	0.527724561
39	0.554374131	0.542539463	0.527748125
40	0.554460246	0.542550104	0.527965303
41	0.554461838	0.542633559	0.527993117
42	0.554468834	0.542663648	0.528003855
43	0.554630273	0.54268122	0.52803003
44	0.554656384	0.542749447	0.52803878
45	0.554675906	0.542776446	0.528061357
46	0.554767417	0.5428276	0.528067609
47	0.554821274	0.542840392	0.528071541
48	0.554831728	0.542865847	0.528101874
49	0.554849312	0.543054653	0.528314045
50	0.554867297	0.543111451	0.528340776
51	0.554917578	0.543114559	0.528352155
52	0.554950752	0.543131092	0.528388986
53	0.554964057	0.543174488	0.528455374
54	0.554968419	0.543217472	0.528459805
55	0.554978105	0.543314737	0.528491224
56	0.554986219	0.543470403	0.528510418
57	0.554997132	0.543487818	0.52852457
58	0.555014743	0.543581139	0.52856746
59	0.555022631	0.543606318	0.528577364
60	0.555026442	0.543611982	0.528604389
61	0.563793411	0.543621392	0.528640852
62	0.563831138	0.543760706	0.528662883
63	0.563831298	0.543773272	0.538017476
64	0.56383455	0.554546193	0.538048454
65	0.563887747	0.554628241	0.538049248
66	0.563931658	0.554632016	0.538064684
67	0.563961863	0.554632919	0.538069914
68	0.563962053	0.554654593	0.538072085
69	0.563966753	0.55473301	0.538134023
70	0.5639677	0.554749549	0.538142062
71	0.564049437	0.554786253	0.538143002
72	0.564049839	0.554813468	0.53816084
73	0.564050232	0.554813879	0.538184177
74	0.564052733	0.554872557	0.538203803
75	0.564053973	0.554872697	0.53821037
77	0.564057834	0.554873842	0.538220627
78	0.564067454	0.554948479	0.538221151
79	0.564073637	0.554951876	0.538221926
80	0.564075997	0.554964246	0.538234605
81	0.564078957	0.55498259	0.538243815
83	0.564082558	0.555010989	0.538244334
85	0.564082723	0.555021182	0.538252528
86	0.564103862	0.555021951	0.538288394
87	0.56410558	0.555049957	0.538304279
88	0.564106467	0.555050355	0.538310338
90	0.564108035	0.555067825	0.538368551
