respSizes,proportion
0,0
1000,0.252310681
2000,0.111333911
3000,0.076187194
4000,0.061778293
5000,0.044278041
6000,0.039317257
7000,0.029319102
8000,0.028354795
9000,0.02230438
10000,0.028306058
11000,0.016069458
12000,0.013966782
13000,0.014161732
14000,0.014283576
15000,0.010697887
16000,0.020295698
17000,0.010415905
18000,0.009079104
19000,0.00920443
20000,0.007268854
21000,0.008438554
22000,0.00670141
23000,0.007919848
24000,0.006227959
25000,0.005660515
26000,0.004689246
27000,0.006060859
28000,0.004932934
29000,0.004943377
30000,0.005803247
31000,0.003926852
32000,0.00347777
33000,0.006889397
34000,0.006238403
35000,0.003053058
36000,0.004341121
37000,0.00286507
38000,0.003077427
39000,0.002952101
40000,0.002461245
41000,0.002259332
42000,0.002182745
43000,0.001872913
44000,0.002388139
45000,0.001775438
46000,0.002659676
47000,0.004003439
48000,0.001563082
49000,0.001333319
50000,0.00180677
51000,0.001563082
52000,0.001503901
53000,0.001308951
54000,0.00097475
55000,0.001127926
56000,0.001207994
57000,0.001086151
58000,0.001218438
59000,0.003456883
60000,0.000967788
61000,0.000960825
62000,0.0008912
63000,0.001061782
64000,0.001326357
65000,0.000797207
66000,0.000786763
67000,0.000637069
68000,0.000637069
69000,0.000650994
70000,0.000661438
71000,0.000671882
72000,0.000734544
73000,0.000755432
74000,0.000525669
75000,0.000515225
76000,0.000525669
77000,0.000738025
78000,0.000598775
79000,0.000609219
80000,0.000511744
81000,0.0005013
82000,0.000490856
83000,0.000466488
84000,0.000532632
85000,0.000508263
86000,0.000497819
87000,0.000497819
88000,0.000365531
89000,0.000386419
90000,0.000438638
91000,0.000414269
92000,0.000633588
93000,0.000508263
94000,0.000929494
95000,0.000832019
96000,0.000351606
97000,0.000372494
98000,0.00030635
99000,0.000424713
100000,0.000525669
101000,0.000396863
102000,0.00030635
103000,0.000330719
104000,0.000330719
105000,0.00025065
106000,0.000236725
107000,0.000229763
108000,0.000243688
109000,0.000205394
More,0.017033765
